EngNames	Lat	Lon	Language	Group	Family	color	label
Bol'shaya Areshevka	44.107833	46.916939	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bol'shezadoevskoe	43.8661	46.8289	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bol'shoy Urala	42.424277	46.805844	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bochokh	42.22	46.28472	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Burtunay	42.992004	46.630332	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Busutli	42.24512	46.363326	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bukhty	42.240712	46.985633	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Butsra	42.58902	46.7677	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhnie Akhalchi	42.59911	46.63581	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhnee Inkho	42.70659	46.50415	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhnie Khvarshini	42.41088	45.84551	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Aradirikh	42.67099	46.60372	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Batlukh	42.496276	46.502217	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Dzhengutay	42.67476	47.23415	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Karanay	42.8281	46.9072	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Kolob	42.42614	46.6579	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Togokh	42.430206	46.698316	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Vinogradnoe	43.9167	46.81963	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gagar	41.999252	46.592744	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gadari	42.807303	46.621237	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gamiyakh	43.2075	46.4886	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gamsutl'	42.301972	46.996315	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Garakolob	42.048887	46.455015	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gatsalukh	42.59298	46.64949	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gvedysh	42.13591	46.41437	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gebguda	42.190026	46.354817	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gel'bakh (V. Chiryurt)	43.15101	46.85751	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gendukh	42.13476	46.403084	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genekolob	41.916992	46.600199	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genitsurib	42.425104	46.705356	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genichutl'	42.56455	46.73959	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genta	42.37001	46.56099	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gergebil'	42.5047	47.0661	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gergentala	42.73225	47.05913	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gerel'	41.94451	46.551888	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gertma	42.996711	46.74415	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gidatli	42.266327	46.374506	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gidib	42.22942	46.80621	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gilib	42.1169	46.7761	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gimry	42.757219	46.838739	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gindib	42.11296	46.50397	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Goab	42.097185	46.738407	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gogotl'	42.45481	46.76547	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gozolokolo	42.569651	46.61206	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Goksuv	43.2222	46.82137	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Golotl'	42.485962	46.735698	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gondokori	43.55252	46.89127	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gonoda	42.4697	46.7892	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gonokh	42.56163	46.6896	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gontlob	42.280673	46.726468	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Goor	42.43339	46.56927	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Goor-Khindakh	42.449273	46.575312	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gortkolo	42.576655	46.63945	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gortnob	41.962665	46.525604	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gostala	43.07334	46.6925	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gotsatl' Bol'shoy	42.51862	46.88262	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gotsatl' Malyy	42.5041	46.88829	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gotsob	42.58963	46.86901	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gochada	42.272626	46.765272	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gochob	42.2375	46.6642	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Guni	43.0311	46.6992	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gunib	42.388232	46.962258	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gunukh	42.28043	46.76307	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Dagbash	42.380347	46.351961	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Dadulazda	42.4189	46.80373	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Darada	42.465606	46.936573	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Datuna	42.47357	46.64364	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Dzhalaturi	42.631847	46.567028	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Dzerzhinskoe	43.5192	46.4731	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Doronub	42.124689	46.809427	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Dubki	43.02116	46.83746	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Durangi	42.63571	47.22366	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Dusrakh	42.1275	46.8792	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Dylym	43.0703	46.6386	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Yefimovka	43.84302	46.79782	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Zhazhada	42.197157	46.424903	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Zaib	42.489364	46.707472	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Zanata	42.485146	46.552771	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Zarechnoe	43.76292	46.58238	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Zarya Kommuny	43.89784	46.73016	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Zirani	42.61797	46.94436	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ziurib	42.41789	46.705088	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Zubutli-Miatli (TsIobok'-Miyak'o)	43.1978	46.8122	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ibragimotar	43.56491	46.46879	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ivaylazda	42.42	46.79917	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Igali	42.7181	46.5811	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Izta	42.30889	46.35667	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Imeni Zhdanova	43.85694	46.69528	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Imanaliroso	42.91429	46.76761	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Imeni Kirova	43.86396	46.70564	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Imeni Shaumyana	43.87796	46.68821	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ingerdakh	42.58926	46.398373	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ingishi	42.77477	46.54264	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Inkvalita	42.69936	46.68833	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Inchkha	43.0964	46.7675	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Iputa	42.47852	46.96592	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Irganay	42.649543	46.912048	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Irib	42.1606	46.8169	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ikha	42.256944	45.820075	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ichichali	42.732617	46.405263	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ishtiburi	42.679149	46.702701	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kabasida	42.205771	46.341334	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kamilukh	41.90911	46.63101	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Karadakh	42.471023	46.863724	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Karanub	42.12262	46.81777	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kardib	42.111443	46.514655	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kardonovka	43.8158	46.8478	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Karlanyurt	43.2303	46.6447	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Katroso	42.188329	46.33021	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kakh	42.557664	46.790848	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kakhabroso	42.73896	46.704697	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kakhib	42.4272	46.5969	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Kakhikal	42.499065	46.874809	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
